folder_name,sample_rate [Hz],sample_name,grinder_setting,grinder_time,coffee_output_weight,coffee_input_weight,coffee_level,room_humidity,Timestamp_begin,Timestamp_end
20240108_124625,2560,hayb,2.5,9.8,16.5,749.4,14,14.6,1704714385.59027,1704714385.59676
20240108_124709,2560,hayb,2.5,9.8,17.5,749.4,14.6,14.4,1704714429.51681,1704714429.52525
20240108_124913,2560,hayb,2.5,9.8,16.7,749.4,13.5,14.9,1704714553.70686,1704714553.71228
20240108_124954,2560,hayb,2.5,9.8,16.9,749.4,12.5,14.7,1704714594.23015,1704714594.23869
20240108_125020,2560,hayb,2.5,9.8,16.5,749.4,12.5,14.3,1704714620.5678,1704714620.57326
20240108_125118,2560,hayb,2.5,9.8,16.4,749.4,12.5,14.1,1704714678.27621,1704714678.28422
20240108_125203,2560,hayb,2.5,9.8,16.8,749.4,11.5,14.7,1704714723.38547,1704714723.39136
20240108_125230,2560,hayb,2.5,9.8,17.1,749.4,11,14.7,1704714750.87377,1704714750.87941
20240108_125320,2560,hayb,2.5,9.8,16.7,749.4,9-Jan,14,1704714800.15302,1704714800.1589
20240108_141501,2560,hayb,2.5,9.8,17.2,749.4,10.8,14.1,1704719701.77435,1704719701.78114
20240108_141617,2560,hayb,3,10,18.7,749.4,9.8,14.6,1704719777.85205,1704719777.8597
20240108_141645,2560,hayb,3,10,17.8,749.4,9.5,14.7,1704719805.57587,1704719805.58248
20240108_141716,2560,hayb,3,10,17.6,749.4,9,14.3,1704719836.24567,1704719836.25568
20240108_141747,2560,hayb,3,10,18,749.4,8.9,14.9,1704719867.83926,1704719867.846
20240108_142150,2560,hayb,3,10,17.7,749.4,6.7,14.2,1704720110.26947,1704720110.27503
20240108_142223,2560,hayb,3,10,18.1,749.4,6.5,14.1,1704720143.3411,1704720143.34797
20240108_142323,2560,hayb,3,10,18.3,749.4,4.5,14.4,1704720203.64143,1704720203.64799
20240108_142353,2560,hayb,3,10,17,749.4,4.3,14.1,1704720233.45041,1704720233.45641
20240109_111719,2560,Gicherori,2.5,10,19.1,101.4,3.4,17.2,1704795439.62855,1704795439.63347
20240109_111816,2560,Gicherori,2.5,10,19.1,101.4,3.4,17.9,1704795496.46087,1704795496.4714
20240109_111850,2560,Gicherori,2.5,10,18.2,101.4,4.3,17.9,1704795530.89084,1704795530.90324
20240109_111919,2560,Gicherori,2.5,10,18.5,101.4,2,17.9,1704795559.35035,1704795559.35992
20240109_111953,2560,Gicherori,2.5,10,17.6,101.4,2.4,17.9,1704795593.59813,1704795593.60702
20240109_112024,2560,Gicherori,2.5,10,15.6,101.4,1,17.9,1704795624.15158,1704795624.16398
20240109_135845,2560,etno,3,10,17.3,649.6,19.8,17.9,1704805125.32396,1704805125.33354
20240109_135919,2560,etno,3,10,17.8,649.6,19.8,17.9,1704805159.8157,1704805159.83125
20240109_152252,2560,etno,3.5,10.9,14.4,649.6,14.5,17.9,1704810172.27594,1704810172.27604
20240109_152416,2560,etno,3.5,10.9,19.4,649.6,14.8,17.9,1704810256.04119,1704810256.05463
20240109_152449,2560,etno,3.5,10.9,19.6,649.6,14.5,17.9,1704810289.5528,1704810289.56848
20240109_152555,2560,etno,3.5,10.9,19.4,649.6,14.7,17.9,1704810355.29272,1704810355.30819
20240109_152649,2560,etno,3.5,10.9,18.5,649.6,14,17.9,1704810409.5254,1704810409.53786
20240109_153532,2560,etno,3.5,10.9,19.8,649.6,12.9,17.9,1704810932.54729,1704810932.56442
20240109_153615,2560,etno,3.5,10.9,19.7,649.6,12.8,17.9,1704810975.94628,1704810975.95931
20240109_153654,2560,etno,3.5,10.9,20.5,649.6,12.7,17.9,1704811014.20852,1704811014.22252
20240109_153814,2560,etno,3.5,10.9,20.1,649.6,12.4,17.9,1704811094.97023,1704811094.98245
20240110_125448,2560,etno,3.5,10.9,15.3,649.6,10.9,24.4,1704887688.87006,1704887688.88113
20240110_125616,2560,etno,3.5,10.9,22.2,649.6,10.8,24,1704887776.84853,1704887776.863
20240110_125742,2560,etno,3.5,10.9,19.8,649.6,10.9,24.5,1704887862.83075,1704887862.84575
20240110_125810,2560,etno,3.5,10.9,19.1,649.6,9.8,24.8,1704887890.63867,1704887890.65302
20240110_130001,2560,etno,3.5,10.9,20,649.6,8.9,24.4,1704888001.45034,1704888001.46455
20240110_130046,2560,etno,3.5,10.9,20.7,649.6,7.5,24.7,1704888046.27528,1704888046.29092
20240110_130206,2560,etno,3.5,10.9,19.6,649.6,6.5,24.3,1704888126.41998,1704888126.43488
20240110_130415,2560,etno,3.5,10.9,23.2,649.6,4.3,24.7,1704888255.93253,1704888255.94476
20240110_130447,2560,etno,3.5,10.9,20.1,649.6,4.2,24.8,1704888287.80542,1704888287.81708
20240110_130517,2560,etno,3.5,10.9,19.3,649.6,2,24.6,1704888317.49918,1704888317.51051
20240110_130640,2560,etno,3.5,10.9,16.6,649.6,1,24.5,1704888400.25016,1704888400.25978
20240110_131321,2560,etno,3.5,10.9,18.7,649.6,9.3,24.6,1704888801.69847,1704888801.71218
20240110_131412,2560,etno,3.5,10.9,20.7,649.6,9.7,24.6,1704888852.49971,1704888852.51524
20240110_131500,2560,etno,3.5,10.9,19.9,649.6,8.7,24.6,1704888900.11052,1704888900.12173
20240110_131550,2560,etno,3.5,10.9,21.2,649.6,7.8,24.7,1704888950.7073,1704888950.71728
20240111_113710,2560,etno,3.5,10.9,2.3,649.6,2.3,24.1,1704969430.00128,1704969430.0034
20240111_113832,2560,etno,3.5,10.9,35.6,649.6,4.8,24.5,1704969512.81153,1704969512.83013
20240111_113912,2560,etno,3.5,10.9,37.3,649.6,2.3,24.7,1704969552.5783,1704969552.59169
20240111_113925,2560,etno,3.5,10.9,2.3,649.6,2.3,24.3,1704969565.08918,1704969565.0893
20240111_114018,2560,etno,3.5,10.9,37.2,649.6,2.4,24.7,1704969618.84959,1704969618.86554
20240112_133817,2560,Gardelli,2.5,10.9,17.1,120.3,10.1,23.5,1705063097.00483,1705063097.0144
20240112_133841,2560,Gardelli,2.5,10.9,18.6,120.3,9.9,23.2,1705063121.88514,1705063121.89861
20240112_133900,2560,Gardelli,2.5,10.9,2.3,120.3,2.3,23.8,1705063140.83459,1705063140.83471
20240112_133932,2560,Gardelli,2.5,10.9,18.2,120.3,8.7,23.6,1705063172.9361,1705063172.95221
